EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-159352.854,-149373.360,-95499.921,-132207.563,-159269.562,-160279.745,-160556.519,-142283.657,-0.111,0.747,-0.542,0.732,1.404,-0.122,80.000,38.000,1.000
-160082.436,-150384.788,-97832.449,-133943.700,-160007.678,-160782.574,-161190.628,-143241.425,-0.111,0.747,-0.539,0.732,1.373,-0.122,80.000,39.000,1.000
-160376.345,-150966.081,-99777.326,-135238.467,-160308.790,-160877.247,-161393.269,-143793.199,-0.109,0.746,-0.540,0.641,1.343,-0.244,80.000,40.000,1.000
-160339.333,-151211.196,-101422.631,-136171.477,-160278.964,-160672.230,-161273.531,-144034.462,-0.110,0.747,-0.540,0.641,1.404,-0.275,80.000,41.000,1.000
-160077.994,-151219.798,-102838.499,-136835.957,-160026.072,-160269.701,-160939.389,-144059.160,-0.111,0.747,-0.542,0.732,1.404,-0.244,80.000,42.000,1.000
-159661.165,-151059.470,-104061.518,-137300.355,-159619.690,-159731.160,-160459.157,-143927.230,-0.111,0.748,-0.538,0.671,1.434,-0.122,80.000,43.000,1.000
-159112.837,-150756.889,-105099.937,-137596.756,-159083.638,-159074.110,-159855.332,-143659.707,-0.111,0.747,-0.541,0.641,1.434,-0.092,80.000,44.000,1.000
-158427.467,-150309.913,-105949.089,-137730.047,-158411.046,-158288.577,-159120.123,-143252.171,-0.111,0.746,-0.540,0.610,1.434,-0.183,80.000,45.000,1.000
-157590.754,-149706.169,-106605.244,-137693.512,-157585.555,-157357.860,-158236.670,-142692.562,-0.110,0.745,-0.539,0.458,1.343,-0.244,80.000,46.000,1.000
-156594.472,-148937.747,-107072.480,-137481.783,-156597.334,-156273.205,-157194.904,-141974.344,-0.110,0.745,-0.538,0.641,1.465,-0.275,80.000,47.000,1.000
-155442.345,-148007.956,-107363.108,-137098.301,-155449.889,-155039.116,-155998.090,-141102.103,-0.109,0.746,-0.539,0.610,1.251,-0.244,80.000,48.000,1.000
-154148.463,-146930.464,-107494.128,-136555.634,-154158.265,-153670.730,-154660.998,-140090.044,-0.110,0.745,-0.539,0.519,1.343,-0.183,80.000,49.000,1.000
-152731.532,-145723.956,-107482.612,-135870.309,-152742.503,-152187.289,-153203.514,-138956.446,-0.110,0.744,-0.539,0.610,1.373,-0.153,80.000,50.000,1.000
-151208.906,-144406.394,-107342.660,-135057.734,-151221.241,-150606.163,-151644.162,-137718.215,-0.113,0.744,-0.542,0.671,1.312,-0.031,80.000,51.000,1.000
-149593.452,-142991.626,-107084.809,-134130.403,-149608.374,-148939.918,-149996.418,-136387.980,-0.112,0.744,-0.542,0.702,1.373,-0.061,80.000,52.000,1.000
-147893.706,-141488.833,-106716.929,-133098.278,-147912.756,-147196.297,-148268.296,-134973.751,-0.112,0.744,-0.538,0.732,1.434,-0.061,80.000,53.000,1.000
-146115.566,-139903.835,-106245.390,-131969.530,-146139.628,-145379.873,-146464.053,-133480.119,-0.112,0.743,-0.540,0.793,1.343,-0.122,80.000,54.000,1.000
