,EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
37,-9.19,-17.896,-2.853,-11.631,-9.969,-18.995,-13.185,-9.572,-0.096,0.792,-0.486,0.763,0.732,0.061,80.0,4134.0,1.0
38,-9.905,-20.784,-3.546,-12.262,-9.889,-20.265,-12.336,-8.905,-0.096,0.793,-0.488,0.732,0.854,0.122,80.0,4135.0,1.0
39,-11.014,-22.837,-4.825,-12.844,-9.38,-20.688,-11.032,-8.32,-0.095,0.793,-0.485,0.61,0.793,0.122,80.0,4136.0,1.0
40,-12.678,-24.019,-6.748,-13.694,-8.572,-20.031,-9.641,-8.162,-0.095,0.792,-0.485,0.671,0.793,0.153,80.0,4137.0,1.0
41,-14.533,-24.307,-8.861,-14.394,-7.448,-18.462,-8.444,-8.384,-0.094,0.793,-0.482,0.671,0.732,0.153,80.0,4138.0,1.0
42,-16.26,-23.718,-10.6,-14.05,-6.034,-16.372,-7.566,-8.493,-0.094,0.792,-0.484,0.671,0.793,0.214,80.0,4139.0,1.0
43,-17.85,-22.493,-11.748,-12.449,-4.696,-14.23,-7.142,-8.043,-0.092,0.793,-0.484,0.702,0.793,0.214,80.0,4140.0,1.0
44,-19.23,-20.924,-12.444,-10.613,-3.919,-12.293,-7.152,-7.014,-0.089,0.793,-0.486,0.763,0.702,0.153,80.0,4141.0,1.0
45,-20.069,-19.128,-12.877,-9.621,-3.796,-10.466,-7.171,-5.619,-0.09,0.793,-0.486,0.793,0.885,0.153,80.0,4142.0,1.0
46,-20.203,-17.24,-13.131,-9.648,-4.025,-8.656,-6.653,-4.062,-0.092,0.793,-0.487,0.763,0.885,0.061,80.0,4143.0,1.0
47,-20.061,-15.745,-13.369,-10.681,-4.461,-7.211,-5.599,-2.755,-0.093,0.793,-0.486,0.763,0.946,0.061,80.0,4144.0,1.0
48,-20.267,-15.225,-13.849,-12.819,-5.289,-6.697,-4.628,-2.297,-0.091,0.793,-0.483,0.671,0.977,-0.031,80.0,4145.0,1.0
49,-20.931,-15.736,-14.588,-15.413,-6.527,-7.238,-4.386,-2.901,-0.091,0.794,-0.487,0.702,0.916,0.0,80.0,4146.0,1.0
50,-21.716,-16.654,-15.243,-16.982,-7.72,-8.29,-4.997,-4.055,-0.09,0.794,-0.49,0.732,1.007,-0.092,80.0,4147.0,1.0
51,-22.426,-17.146,-15.456,-16.478,-8.24,-9.03,-5.989,-4.912,-0.091,0.792,-0.486,0.671,1.038,-0.153,80.0,4148.0,1.0
52,-23.114,-16.786,-15.247,-14.419,-7.834,-8.955,-6.677,-4.997,-0.093,0.792,-0.485,0.732,1.068,-0.153,80.0,4149.0,1.0
53,-23.796,-15.848,-15.04,-12.51,-6.829,-8.174,-6.621,-4.428,-0.093,0.794,-0.487,0.854,1.16,-0.092,80.0,4150.0,1.0
