EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-31.939,-11.260,-10.047,-17.488,-16.555,-14.593,-14.393,-15.783,-0.116,0.727,-0.559,1.251,1.495,-0.336,80.000,4409.000,1.000
-32.968,-12.546,-12.158,-21.406,-18.708,-15.399,-14.104,-17.250,-0.116,0.726,-0.557,1.373,1.526,-0.305,80.000,4410.000,1.000
-33.760,-13.608,-13.600,-24.265,-20.043,-15.855,-13.903,-18.762,-0.115,0.727,-0.558,1.404,1.465,-0.244,80.000,4411.000,1.000
-34.488,-14.490,-14.262,-25.633,-20.806,-16.074,-14.486,-20.686,-0.115,0.726,-0.559,1.343,1.495,-0.214,80.000,4412.000,1.000
-35.435,-15.074,-14.438,-25.606,-21.237,-15.941,-15.897,-22.838,-0.117,0.729,-0.561,1.312,1.556,-0.183,80.000,4413.000,1.000
-37.065,-15.478,-14.834,-24.764,-21.537,-15.518,-17.612,-24.482,-0.116,0.729,-0.561,1.495,1.617,-0.214,80.000,4414.000,1.000
-39.531,-16.121,-16.090,-23.813,-21.782,-15.169,-18.993,-24.791,-0.118,0.730,-0.557,1.465,1.465,-0.122,80.000,4415.000,1.000
-42.332,-17.414,-18.303,-23.127,-21.855,-15.224,-19.618,-23.376,-0.116,0.728,-0.556,1.526,1.404,-0.092,80.000,4416.000,1.000
-44.701,-19.397,-20.972,-22.639,-21.470,-15.567,-19.304,-20.490,-0.115,0.729,-0.561,1.495,1.343,-0.061,80.000,4417.000,1.000
-46.227,-21.604,-23.285,-22.028,-20.245,-15.550,-18.000,-16.791,-0.116,0.729,-0.556,1.465,1.434,0.000,80.000,4418.000,1.000
-46.896,-23.227,-24.432,-20.828,-17.806,-14.286,-15.706,-12.931,-0.116,0.729,-0.560,1.495,1.404,0.122,80.000,4419.000,1.000
-46.747,-23.531,-23.837,-18.581,-13.979,-11.113,-12.492,-9.386,-0.118,0.728,-0.560,1.526,1.404,0.153,80.000,4420.000,1.000
-45.863,-22.269,-21.426,-15.270,-9.077,-6.040,-8.585,-6.542,-0.115,0.727,-0.561,1.526,1.373,0.031,80.000,4421.000,1.000
-44.671,-19.788,-17.853,-11.626,-4.009,0.037,-4.416,-4.745,-0.114,0.726,-0.560,1.526,1.434,0.122,80.000,4422.000,1.000
-43.817,-16.797,-14.266,-8.800,0.057,5.561,-0.584,-4.195,-0.115,0.727,-0.560,1.434,1.282,0.122,80.000,4423.000,1.000
-43.667,-14.048,-11.658,-7.688,2.246,8.926,2.224,-4.879,-0.115,0.728,-0.562,1.434,1.343,0.092,80.000,4424.000,1.000
-44.093,-12.061,-10.402,-8.565,2.307,9.186,3.462,-6.621,-0.115,0.729,-0.562,1.526,1.251,0.183,80.000,4425.000,1.000
-44.715,-10.920,-10.224,-11.041,0.624,6.529,3.071,-9.090,-0.114,0.729,-0.562,1.465,1.282,0.122,80.000,4426.000,1.000
-45.208,-10.319,-10.487,-14.233,-2.035,2.157,1.525,-11.807,-0.115,0.728,-0.561,1.526,1.282,0.153,80.000,4427.000,1.000
-45.400,-9.925,-10.606,-17.167,-4.927,-2.481,-0.564,-14.358,-0.115,0.728,-0.559,1.495,1.251,0.183,80.000,4428.000,1.000
-45.223,-9.606,-10.328,-19.283,-7.630,-6.453,-2.823,-16.601,-0.116,0.729,-0.559,1.465,1.251,0.183,80.000,4429.000,1.000
-44.660,-9.233,-9.663,-20.613,-9.920,-9.391,-5.023,-18.520,-0.114,0.727,-0.559,1.434,1.312,0.183,80.000,4430.000,1.000
-43.720,-8.468,-8.626,-21.461,-11.453,-11.074,-6.736,-19.935,-0.114,0.728,-0.558,1.495,1.221,0.092,80.000,4431.000,1.000
-42.391,-6.984,-7.160,-22.042,-11.773,-11.334,-7.373,-20.554,-0.113,0.729,-0.559,1.465,1.190,0.061,80.000,4432.000,1.000
-40.683,-4.884,-5.355,-22.404,-10.678,-10.277,-6.606,-20.248,-0.113,0.728,-0.560,1.556,1.221,0.092,80.000,4433.000,1.000
-38.799,-2.844,-3.637,-22.478,-8.464,-8.354,-4.666,-19.131,-0.114,0.727,-0.559,1.526,1.221,0.061,80.000,4434.000,1.000
-37.175,-1.684,-2.573,-22.107,-5.708,-6.067,-2.118,-17.397,-0.113,0.727,-0.560,1.434,1.221,-0.061,80.000,4435.000,1.000
-36.156,-1.732,-2.395,-20.999,-2.865,-3.630,0.593,-15.159,-0.112,0.728,-0.558,1.495,1.221,-0.061,80.000,4436.000,1.000
-35.763,-2.737,-2.859,-18.886,-0.236,-1.062,3.245,-12.559,-0.111,0.728,-0.556,1.526,1.160,-0.061,80.000,4437.000,1.000
-35.913,-4.357,-3.644,-15.916,1.801,1.404,5.614,-9.973,-0.114,0.728,-0.558,1.404,1.190,-0.061,80.000,4438.000,1.000
-36.595,-6.384,-4.686,-12.744,2.877,3.239,7.394,-7.873,-0.115,0.726,-0.559,1.495,1.221,-0.061,80.000,4439.000,1.000
-37.747,-8.630,-6.116,-10.167,2.844,3.905,8.277,-6.575,-0.113,0.729,-0.559,1.373,1.129,-0.031,80.000,4440.000,1.000
-39.235,-10.968,-8.119,-8.838,1.743,3.043,8.003,-6.292,-0.113,0.728,-0.557,1.343,1.190,-0.122,80.000,4441.000,1.000
-41.009,-13.388,-10.787,-9.068,-0.196,0.704,6.605,-7.068,-0.113,0.727,-0.556,1.465,1.190,-0.183,80.000,4442.000,1.000
-43.012,-15.737,-13.845,-10.559,-2.327,-2.373,4.721,-8.476,-0.115,0.728,-0.558,1.373,1.190,-0.122,80.000,4443.000,1.000
-44.817,-17.527,-16.542,-12.421,-3.683,-4.942,3.356,-9.695,-0.114,0.728,-0.559,1.373,1.221,-0.153,80.000,4444.000,1.000
-45.637,-18.143,-18.002,-13.640,-3.552,-5.990,3.174,-10.106,-0.114,0.729,-0.558,1.312,1.221,-0.153,80.000,4445.000,1.000
-44.859,-17.221,-17.775,-13.647,-1.971,-5.325,4.085,-9.694,-0.114,0.728,-0.560,1.343,1.160,-0.153,80.000,4446.000,1.000
-42.465,-14.835,-16.010,-12.565,0.366,-3.467,5.532,-8.791,-0.114,0.727,-0.560,1.251,1.068,-0.153,80.000,4447.000,1.000
-38.884,-11.410,-13.246,-11.017,2.661,-1.074,7.082,-7.588,-0.115,0.728,-0.561,1.282,1.221,-0.214,80.000,4448.000,1.000
-34.639,-7.517,-10.165,-9.786,4.476,1.441,8.687,-6.100,-0.113,0.729,-0.564,1.221,1.221,-0.122,80.000,4449.000,1.000
-30.197,-3.712,-7.389,-9.486,5.757,3.855,10.493,-4.416,-0.115,0.729,-0.561,1.221,1.221,-0.031,80.000,4450.000,1.000
-26.064,-0.554,-5.305,-10.325,6.488,5.910,12.429,-2.820,-0.113,0.730,-0.563,1.190,1.190,-0.061,80.000,4451.000,1.000
-22.763,1.389,-4.022,-12.057,6.415,7.177,13.919,-1.796,-0.113,0.729,-0.560,1.221,1.099,-0.153,80.000,4452.000,1.000
-20.573,1.779,-3.417,-14.110,5.226,7.221,14.075,-1.929,-0.114,0.728,-0.562,1.160,1.190,-0.031,80.000,4453.000,1.000
-19.393,0.778,-3.271,-15.860,2.973,5.937,12.332,-3.542,-0.113,0.729,-0.562,1.282,1.190,-0.092,80.000,4454.000,1.000
-18.849,-0.948,-3.310,-16.839,0.248,3.734,8.963,-6.255,-0.113,0.728,-0.559,1.221,1.221,-0.092,80.000,4455.000,1.000
-18.416,-2.485,-3.092,-16.716,-1.969,1.414,5.094,-8.876,-0.113,0.727,-0.559,1.221,1.251,0.000,80.000,4456.000,1.000
-17.568,-3.084,-2.129,-15.337,-2.717,-0.120,2.185,-9.957,-0.111,0.727,-0.560,1.160,1.221,-0.031,80.000,4457.000,1.000
-16.074,-2.520,-0.293,-12.892,-1.601,-0.269,1.240,-8.723,-0.114,0.727,-0.562,1.129,1.282,-0.061,80.000,4458.000,1.000
-14.219,-1.174,1.933,-9.923,0.858,0.871,2.198,-5.618,-0.114,0.728,-0.563,1.221,1.251,-0.031,80.000,4459.000,1.000
-12.770,0.164,3.612,-7.193,3.345,2.375,3.970,-2.045,-0.114,0.726,-0.559,1.221,1.343,-0.061,80.000,4460.000,1.000
-12.530,0.716,3.874,-5.450,4.438,2.987,5.161,0.496,-0.116,0.726,-0.559,1.251,1.282,-0.153,80.000,4461.000,1.000
-13.698,0.204,2.533,-4.991,3.532,2.038,4.959,1.277,-0.115,0.725,-0.562,1.282,1.251,-0.153,80.000,4462.000,1.000
-15.640,-0.996,0.275,-5.394,1.211,-0.056,3.525,0.602,-0.114,0.726,-0.561,1.282,1.160,-0.183,80.000,4463.000,1.000
-17.332,-2.211,-1.795,-5.775,-1.275,-2.191,1.683,-0.560,-0.114,0.728,-0.559,1.373,1.221,-0.122,80.000,4464.000,1.000
-17.932,-2.972,-2.870,-5.380,-2.909,-3.340,0.258,-1.209,-0.113,0.725,-0.558,1.343,1.129,-0.214,80.000,4465.000,1.000
-17.093,-3.183,-2.796,-4.048,-3.427,-3.054,-0.418,-0.856,-0.114,0.723,-0.555,1.373,1.190,-0.183,80.000,4466.000,1.000
